nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,mpce
UP,Uttar Pradesh,3,cereal substitutes,Rural,0.11
WB,West Bengal,3,cereal substitutes,Rural,0.16
TG,Telangana,4,pulses and pulse products,Rural,52.66
TR,Tripura,4,pulses and pulse products,Rural,36.81
UT,Uttarakhand,4,pulses and pulse products,Rural,62.62
UP,Uttar Pradesh,4,pulses and pulse products,Rural,57.03
WB,West Bengal,4,pulses and pulse products,Rural,38.28
TG,Telangana,5,milk and milk products,Rural,121.97
TR,Tripura,5,milk and milk products,Rural,53.4
UT,Uttarakhand,5,milk and milk products,Rural,279.08
UP,Uttar Pradesh,5,milk and milk products,Rural,174.07
WB,West Bengal,5,milk and milk products,Rural,56.62
TG,Telangana,6,sugar,Rural,19.96
TR,Tripura,6,sugar,Rural,14.32
UT,Uttarakhand,6,sugar,Rural,31.74
UP,Uttar Pradesh,6,sugar,Rural,32.3
WB,West Bengal,6,sugar,Rural,17.51
TG,Telangana,7,salt,Rural,3.3
TR,Tripura,7,salt,Rural,4.94
UT,Uttarakhand,7,salt,Rural,3.5
UP,Uttar Pradesh,7,salt,Rural,2.73
WB,West Bengal,7,salt,Rural,3.67
TG,Telangana,8,edible oil,Rural,73.58
TR,Tripura,8,edible oil,Rural,61.25
UT,Uttarakhand,8,edible oil,Rural,53.62
UP,Uttar Pradesh,8,edible oil,Rural,62.93
WB,West Bengal,8,edible oil,Rural,76.43
TG,Telangana,9,"egg, fish & meat",Rural,129.6
TR,Tripura,9,"egg, fish & meat",Rural,301.9
UT,Uttarakhand,9,"egg, fish & meat",Rural,81.06
UP,Uttar Pradesh,9,"egg, fish & meat",Rural,38.83
WB,West Bengal,9,"egg, fish & meat",Rural,208.38
TG,Telangana,10,vegetables,Rural,158.38
TR,Tripura,10,vegetables,Rural,208.45
UT,Uttarakhand,10,vegetables,Rural,147.83
UP,Uttar Pradesh,10,vegetables,Rural,123.32
WB,West Bengal,10,vegetables,Rural,151.01
TG,Telangana,11,fruits (fresh),Rural,47.64
TR,Tripura,11,fruits (fresh),Rural,39.81
UT,Uttarakhand,11,fruits (fresh),Rural,53.5
UP,Uttar Pradesh,11,fruits (fresh),Rural,31.68
WB,West Bengal,11,fruits (fresh),Rural,40.05
TG,Telangana,12,fruits (dry),Rural,15.36
TR,Tripura,12,fruits (dry),Rural,2.93
UT,Uttarakhand,12,fruits (dry),Rural,23.27
UP,Uttar Pradesh,12,fruits (dry),Rural,10.61
WB,West Bengal,12,fruits (dry),Rural,3.77
TG,Telangana,13,spices,Rural,81.31
TR,Tripura,13,spices,Rural,55.51
UT,Uttarakhand,13,spices,Rural,53.08
UP,Uttar Pradesh,13,spices,Rural,56.73
WB,West Bengal,13,spices,Rural,55.33
TG,Telangana,14,"beverages, refreshments, etc.",Rural,162.49
TR,Tripura,14,"beverages, refreshments, etc.",Rural,141.05
UT,Uttarakhand,14,"beverages, refreshments, etc.",Rural,149.11
UP,Uttar Pradesh,14,"beverages, refreshments, etc.",Rural,119.84
WB,West Bengal,14,"beverages, refreshments, etc.",Rural,166.18
TG,Telangana,15,food: total (1-14),Rural,1083.86
TR,Tripura,15,food: total (1-14),Rural,1164.09
UT,Uttarakhand,15,food: total (1-14),Rural,1141.23
UP,Uttar Pradesh,15,food: total (1-14),Rural,872.28
WB,West Bengal,15,food: total (1-14),Rural,1028.08
TG,Telangana,16,"pan, tobacco & intoxicants",Rural,86.87
TR,Tripura,16,"pan, tobacco & intoxicants",Rural,113.61
UT,Uttarakhand,16,"pan, tobacco & intoxicants",Rural,90.1
UP,Uttar Pradesh,16,"pan, tobacco & intoxicants",Rural,32.37
WB,West Bengal,16,"pan, tobacco & intoxicants",Rural,36.98
TG,Telangana,17,fuel and light,Rural,145.33
TR,Tripura,17,fuel and light,Rural,169.07
UT,Uttarakhand,17,fuel and light,Rural,181.97
UP,Uttar Pradesh,17,fuel and light,Rural,155.08
WB,West Bengal,17,fuel and light,Rural,177.52
TG,Telangana,18,clothing & bedding,Rural,174.75
TR,Tripura,18,clothing & bedding,Rural,144.44
UT,Uttarakhand,18,clothing & bedding,Rural,147.26
UP,Uttar Pradesh,18,clothing & bedding,Rural,114
WB,West Bengal,18,clothing & bedding,Rural,121.29
TG,Telangana,19,footwear,Rural,21.97
TR,Tripura,19,footwear,Rural,19
UT,Uttarakhand,19,footwear,Rural,33.47
UP,Uttar Pradesh,19,footwear,Rural,19.63
WB,West Bengal,19,footwear,Rural,15.16
TG,Telangana,20,education,Rural,73.22
TR,Tripura,20,education,Rural,118.13
UT,Uttarakhand,20,education,Rural,107.75
UP,Uttar Pradesh,20,education,Rural,83.92
WB,West Bengal,20,education,Rural,83.95
TG,Telangana,21,medical (institutional),Rural,24.75
TR,Tripura,21,medical (institutional),Rural,19.25
UT,Uttarakhand,21,medical (institutional),Rural,12.77
UP,Uttar Pradesh,21,medical (institutional),Rural,27.57
WB,West Bengal,21,medical (institutional),Rural,29.1
TG,Telangana,22,medical (non-institutional),Rural,53.43
TR,Tripura,22,medical (non-institutional),Rural,65.82
UT,Uttarakhand,22,medical (non-institutional),Rural,31.74
UP,Uttar Pradesh,22,medical (non-institutional),Rural,52.1
WB,West Bengal,22,medical (non-institutional),Rural,86.31
TG,Telangana,23,entertainment,Rural,43.28
TR,Tripura,23,entertainment,Rural,34.27
UT,Uttarakhand,23,entertainment,Rural,40.86
UP,Uttar Pradesh,23,entertainment,Rural,13.3
WB,West Bengal,23,entertainment,Rural,25.28
TG,Telangana,24,minor durable-type goods,Rural,4.38
TR,Tripura,24,minor durable-type goods,Rural,4.62
UT,Uttarakhand,24,minor durable-type goods,Rural,12.51
UP,Uttar Pradesh,24,minor durable-type goods,Rural,5.06
WB,West Bengal,24,minor durable-type goods,Rural,5.58
TG,Telangana,25,toilet articles,Rural,52.01
TR,Tripura,25,toilet articles,Rural,36.06
UT,Uttarakhand,25,toilet articles,Rural,43.27
UP,Uttar Pradesh,25,toilet articles,Rural,33.35
WB,West Bengal,25,toilet articles,Rural,35.23
TG,Telangana,26,other household consumables,Rural,46.29
TR,Tripura,26,other household consumables,Rural,26.48
UT,Uttarakhand,26,other household consumables,Rural,37.57
UP,Uttar Pradesh,26,other household consumables,Rural,28.72
WB,West Bengal,26,other household consumables,Rural,28.67
TG,Telangana,27,consum. services excl. conveyance,Rural,86.33
TR,Tripura,27,consum. services excl. conveyance,Rural,68.34
UT,Uttarakhand,27,consum. services excl. conveyance,Rural,95.64
UP,Uttar Pradesh,27,consum. services excl. conveyance,Rural,67.24
WB,West Bengal,27,consum. services excl. conveyance,Rural,51.33
TG,Telangana,28,conveyance,Rural,121.32
TR,Tripura,28,conveyance,Rural,69.03
UT,Uttarakhand,28,conveyance,Rural,142.83
UP,Uttar Pradesh,28,conveyance,Rural,64.61
WB,West Bengal,28,conveyance,Rural,52.33
TG,Telangana,29,rent,Rural,9.18
TR,Tripura,29,rent,Rural,2.73
UT,Uttarakhand,29,rent,Rural,14.98
UP,Uttar Pradesh,29,rent,Rural,1.81
WB,West Bengal,29,rent,Rural,2.47
TG,Telangana,30,taxes & cesses,Rural,13.88
TR,Tripura,30,taxes & cesses,Rural,1.21
UT,Uttarakhand,30,taxes & cesses,Rural,9.74
UP,Uttar Pradesh,30,taxes & cesses,Rural,1.21
WB,West Bengal,30,taxes & cesses,Rural,1.79
TG,Telangana,31,durable goods,Rural,82.4
TR,Tripura,31,durable goods,Rural,59.17
UT,Uttarakhand,31,durable goods,Rural,111.97
UP,Uttar Pradesh,31,durable goods,Rural,81.77
WB,West Bengal,31,durable goods,Rural,67.9
TG,Telangana,32,non-food: total (16-31),Rural,1039.38
TR,Tripura,32,non-food: total (16-31),Rural,951.25
UT,Uttarakhand,32,non-food: total (16-31),Rural,1114.43
UP,Uttar Pradesh,32,non-food: total (16-31),Rural,781.74
WB,West Bengal,32,non-food: total (16-31),Rural,820.9
TG,Telangana,33,total expenditure (15+32),Rural,2123.24
TR,Tripura,33,total expenditure (15+32),Rural,2115.34
UT,Uttarakhand,33,total expenditure (15+32),Rural,2255.67
UP,Uttar Pradesh,33,total expenditure (15+32),Rural,1654.01
WB,West Bengal,33,total expenditure (15+32),Rural,1848.98
TG,Telangana,34,"cooked meals recd. free inworkpl.*",Rural,3.77
TR,Tripura,34,"cooked meals recd. free inworkpl.*",Rural,1.44
UT,Uttarakhand,34,"cooked meals recd. free inworkpl.*",Rural,0.44
UP,Uttar Pradesh,34,"cooked meals recd. free inworkpl.*",Rural,1.27
WB,West Bengal,34,"cooked meals recd. free inworkpl.*",Rural,3.8
TG,Telangana,35,cooked meals recd. as assistance *,Rural,39.47
TR,Tripura,35,cooked meals recd. as assistance *,Rural,29.21
UT,Uttarakhand,35,cooked meals recd. as assistance *,Rural,16.43
UP,Uttar Pradesh,35,cooked meals recd. as assistance *,Rural,13.96
WB,West Bengal,35,cooked meals recd. as assistance *,Rural,30.17
TG,Telangana,36,clothing & footwear (2nd hand) **,Rural,0.11
TR,Tripura,36,clothing & footwear (2nd hand) **,Rural,2.31
UT,Uttarakhand,36,clothing & footwear (2nd hand) **,Rural,0.83
UP,Uttar Pradesh,36,clothing & footwear (2nd hand) **,Rural,0.09
WB,West Bengal,36,clothing & footwear (2nd hand) **,Rural,0.13
TG,Telangana,37,"@books, journals, etc. (2nd hand)",Rural,0.09
TR,Tripura,37,"@books, journals, etc. (2nd hand)",Rural,1.56
UT,Uttarakhand,37,"@books, journals, etc. (2nd hand)",Rural,0.32
UP,Uttar Pradesh,37,"@books, journals, etc. (2nd hand)",Rural,0.49
WB,West Bengal,37,"@books, journals, etc. (2nd hand)",Rural,0.6
TG,Telangana,38,"$durables (2ndhand)",Rural,2.86
TR,Tripura,38,"$durables (2ndhand)",Rural,1.65
UT,Uttarakhand,38,"$durables (2ndhand)",Rural,1
UP,Uttar Pradesh,38,"$durables (2ndhand)",Rural,1.33
WB,West Bengal,38,"$durables (2ndhand)",Rural,0.97
TG,Telangana,39,imputed rent,Rural,98.68
TR,Tripura,39,imputed rent,Rural,77.38
UT,Uttarakhand,39,imputed rent,Rural,158.79
UP,Uttar Pradesh,39,imputed rent,Rural,19.86
WB,West Bengal,39,imputed rent,Rural,34.47
AN,Andaman & Nicobar Islands,1,cereal,Rural,204.27
CH,Chandigarh,1,cereal,Rural,280.9
DN,Dadra & Nagar Haveli,1,cereal,Rural,128.15
DD,Daman & Diu,1,cereal,Rural,172.48
LK,Lakshadweep,1,cereal,Rural,140.94
AN,Andaman & Nicobar Islands,2,gram,Rural,2.26
CH,Chandigarh,2,gram,Rural,18.11
DN,Dadra & Nagar Haveli,2,gram,Rural,3.74
DD,Daman & Diu,2,gram,Rural,2.76
LK,Lakshadweep,2,gram,Rural,14.43
AN,Andaman & Nicobar Islands,3,cereal substitutes,Rural,0.53
CH,Chandigarh,3,cereal substitutes,Rural,0
DN,Dadra & Nagar Haveli,3,cereal substitutes,Rural,0
DD,Daman & Diu,3,cereal substitutes,Rural,0.77
LK,Lakshadweep,3,cereal substitutes,Rural,0.53
AN,Andaman & Nicobar Islands,4,pulses and pulse products,Rural,80.57
CH,Chandigarh,4,pulses and pulse products,Rural,89.84
DN,Dadra & Nagar Haveli,4,pulses and pulse products,Rural,70.53
DD,Daman & Diu,4,pulses and pulse products,Rural,50.24
LK,Lakshadweep,4,pulses and pulse products,Rural,55.9
AN,Andaman & Nicobar Islands,5,milk and milk products,Rural,138.64
CH,Chandigarh,5,milk and milk products,Rural,453.52
DN,Dadra & Nagar Haveli,5,milk and milk products,Rural,37.56
DD,Daman & Diu,5,milk and milk products,Rural,303.08
LK,Lakshadweep,5,milk and milk products,Rural,40.1
AN,Andaman & Nicobar Islands,6,sugar,Rural,32.85
CH,Chandigarh,6,sugar,Rural,45.95
DN,Dadra & Nagar Haveli,6,sugar,Rural,7.24
DD,Daman & Diu,6,sugar,Rural,25.85
LK,Lakshadweep,6,sugar,Rural,71.88
AN,Andaman & Nicobar Islands,7,salt,Rural,4.55
CH,Chandigarh,7,salt,Rural,3.95
DN,Dadra & Nagar Haveli,7,salt,Rural,2.06
DD,Daman & Diu,7,salt,Rural,2.43
LK,Lakshadweep,7,salt,Rural,2.56
AN,Andaman & Nicobar Islands,8,edible oil,Rural,116.09
CH,Chandigarh,8,edible oil,Rural,87.38
DN,Dadra & Nagar Haveli,8,edible oil,Rural,63.57
DD,Daman & Diu,8,edible oil,Rural,84.2
LK,Lakshadweep,8,edible oil,Rural,140.9
AN,Andaman & Nicobar Islands,9,"egg, fish & meat",Rural,375.56
CH,Chandigarh,9,"egg, fish & meat",Rural,61.28
DN,Dadra & Nagar Haveli,9,"egg, fish & meat",Rural,76.35
DD,Daman & Diu,9,"egg, fish & meat",Rural,229.54
LK,Lakshadweep,9,"egg, fish & meat",Rural,486.04
AN,Andaman & Nicobar Islands,10,vegetables,Rural,352.51
CH,Chandigarh,10,vegetables,Rural,214.74
DN,Dadra & Nagar Haveli,10,vegetables,Rural,113.2
DD,Daman & Diu,10,vegetables,Rural,131.24
LK,Lakshadweep,10,vegetables,Rural,168.13
AN,Andaman & Nicobar Islands,11,fruits (fresh),Rural,137.9
CH,Chandigarh,11,fruits (fresh),Rural,80.02
DN,Dadra & Nagar Haveli,11,fruits (fresh),Rural,44.64
DD,Daman & Diu,11,fruits (fresh),Rural,40.22
LK,Lakshadweep,11,fruits (fresh),Rural,209.94
AN,Andaman & Nicobar Islands,12,fruits (dry),Rural,17.32
CH,Chandigarh,12,fruits (dry),Rural,26.61
DN,Dadra & Nagar Haveli,12,fruits (dry),Rural,0.01
DD,Daman & Diu,12,fruits (dry),Rural,23.5
LK,Lakshadweep,12,fruits (dry),Rural,14.16
AN,Andaman & Nicobar Islands,13,spices,Rural,98.47
CH,Chandigarh,13,spices,Rural,89.78
DN,Dadra & Nagar Haveli,13,spices,Rural,67.57
DD,Daman & Diu,13,spices,Rural,69.65
LK,Lakshadweep,13,spices,Rural,127.74
AN,Andaman & Nicobar Islands,14,"beverages, refreshments, etc.",Rural,356.88
CH,Chandigarh,14,"beverages, refreshments, etc.",Rural,359.12
DN,Dadra & Nagar Haveli,14,"beverages, refreshments, etc.",Rural,265.46
DD,Daman & Diu,14,"beverages, refreshments, etc.",Rural,295.28
LK,Lakshadweep,14,"beverages, refreshments, etc.",Rural,277.8
AN,Andaman & Nicobar Islands,15,food: total (1-14),Rural,1918.42
CH,Chandigarh,15,food: total (1-14),Rural,1811.19
DN,Dadra & Nagar Haveli,15,food: total (1-14),Rural,880.08
DD,Daman & Diu,15,food: total (1-14),Rural,1431.25
LK,Lakshadweep,15,food: total (1-14),Rural,1751.05
AN,Andaman & Nicobar Islands,16,"pan, tobacco & intoxicants",Rural,158.89
CH,Chandigarh,16,"pan, tobacco & intoxicants",Rural,39.85
DN,Dadra & Nagar Haveli,16,"pan, tobacco & intoxicants",Rural,119.27
DD,Daman & Diu,16,"pan, tobacco & intoxicants",Rural,91.14
LK,Lakshadweep,16,"pan, tobacco & intoxicants",Rural,31.95
AN,Andaman & Nicobar Islands,17,fuel and light,Rural,220.58
CH,Chandigarh,17,fuel and light,Rural,294.26
DN,Dadra & Nagar Haveli,17,fuel and light,Rural,97.88
DD,Daman & Diu,17,fuel and light,Rural,162.67
LK,Lakshadweep,17,fuel and light,Rural,249.61
AN,Andaman & Nicobar Islands,18,clothing & bedding,Rural,216.28
CH,Chandigarh,18,clothing & bedding,Rural,197.11
DN,Dadra & Nagar Haveli,18,clothing & bedding,Rural,118.61
DD,Daman & Diu,18,clothing & bedding,Rural,167.88
LK,Lakshadweep,18,clothing & bedding,Rural,200.92
AN,Andaman & Nicobar Islands,19,footwear,Rural,46.59
CH,Chandigarh,19,footwear,Rural,36.81
DN,Dadra & Nagar Haveli,19,footwear,Rural,38.02
DD,Daman & Diu,19,footwear,Rural,37.13
LK,Lakshadweep,19,footwear,Rural,34.34
AN,Andaman & Nicobar Islands,20,education,Rural,61.3
CH,Chandigarh,20,education,Rural,129.3
DN,Dadra & Nagar Haveli,20,education,Rural,17.33
DD,Daman & Diu,20,education,Rural,32.85
LK,Lakshadweep,20,education,Rural,19.83
AN,Andaman & Nicobar Islands,21,medical (institutional),Rural,11.17
CH,Chandigarh,21,medical (institutional),Rural,8.52
DN,Dadra & Nagar Haveli,21,medical (institutional),Rural,2.27
DD,Daman & Diu,21,medical (institutional),Rural,0.15
LK,Lakshadweep,21,medical (institutional),Rural,14.97
AN,Andaman & Nicobar Islands,22,medical (non-institutional),Rural,19.37
CH,Chandigarh,22,medical (non-institutional),Rural,51.64
DN,Dadra & Nagar Haveli,22,medical (non-institutional),Rural,17.12
DD,Daman & Diu,22,medical (non-institutional),Rural,24.7
LK,Lakshadweep,22,medical (non-institutional),Rural,87.81
AN,Andaman & Nicobar Islands,23,entertainment,Rural,69.21
CH,Chandigarh,23,entertainment,Rural,65.61
DN,Dadra & Nagar Haveli,23,entertainment,Rural,33.3
DD,Daman & Diu,23,entertainment,Rural,42.03
LK,Lakshadweep,23,entertainment,Rural,32.44
AN,Andaman & Nicobar Islands,24,minor durable-type goods,Rural,16.65
CH,Chandigarh,24,minor durable-type goods,Rural,11.66
DN,Dadra & Nagar Haveli,24,minor durable-type goods,Rural,8.25
DD,Daman & Diu,24,minor durable-type goods,Rural,9.96
LK,Lakshadweep,24,minor durable-type goods,Rural,4.86
AN,Andaman & Nicobar Islands,25,toilet articles,Rural,101.47
CH,Chandigarh,25,toilet articles,Rural,74.35
DN,Dadra & Nagar Haveli,25,toilet articles,Rural,56.72
DD,Daman & Diu,25,toilet articles,Rural,59
LK,Lakshadweep,25,toilet articles,Rural,68.33
AN,Andaman & Nicobar Islands,26,other household consumables,Rural,75.3
CH,Chandigarh,26,other household consumables,Rural,60.51
DN,Dadra & Nagar Haveli,26,other household consumables,Rural,27.03
DD,Daman & Diu,26,other household consumables,Rural,38.49
LK,Lakshadweep,26,other household consumables,Rural,36.23
AN,Andaman & Nicobar Islands,27,consum. services excl. conveyance,Rural,151.43
CH,Chandigarh,27,consum. services excl. conveyance,Rural,206.69
DN,Dadra & Nagar Haveli,27,consum. services excl. conveyance,Rural,79.84
DD,Daman & Diu,27,consum. services excl. conveyance,Rural,115.7
LK,Lakshadweep,27,consum. services excl. conveyance,Rural,120.13
AN,Andaman & Nicobar Islands,28,conveyance,Rural,253.05
CH,Chandigarh,28,conveyance,Rural,243.72
DN,Dadra & Nagar Haveli,28,conveyance,Rural,130.29
DD,Daman & Diu,28,conveyance,Rural,180.09
LK,Lakshadweep,28,conveyance,Rural,205.86
AN,Andaman & Nicobar Islands,29,rent,Rural,113.71
CH,Chandigarh,29,rent,Rural,454.6
DN,Dadra & Nagar Haveli,29,rent,Rural,35.66
DD,Daman & Diu,29,rent,Rural,43.26
LK,Lakshadweep,29,rent,Rural,24.41
AN,Andaman & Nicobar Islands,30,taxes & cesses,Rural,2.98
CH,Chandigarh,30,taxes & cesses,Rural,34.27
DN,Dadra & Nagar Haveli,30,taxes & cesses,Rural,0.8
DD,Daman & Diu,30,taxes & cesses,Rural,19.33
LK,Lakshadweep,30,taxes & cesses,Rural,1.8
AN,Andaman & Nicobar Islands,31,durable goods,Rural,132.18
CH,Chandigarh,31,durable goods,Rural,87.99
DN,Dadra & Nagar Haveli,31,durable goods,Rural,64.13
DD,Daman & Diu,31,durable goods,Rural,254.04
LK,Lakshadweep,31,durable goods,Rural,167.32
AN,Andaman & Nicobar Islands,32,non-food: total (16-31),Rural,1650.15
CH,Chandigarh,32,non-food: total (16-31),Rural,1996.88
DN,Dadra & Nagar Haveli,32,non-food: total (16-31),Rural,846.53
DD,Daman & Diu,32,non-food: total (16-31),Rural,1278.41
LK,Lakshadweep,32,non-food: total (16-31),Rural,1300.81
AN,Andaman & Nicobar Islands,33,total expenditure (15+32),Rural,3568.56
CH,Chandigarh,33,total expenditure (15+32),Rural,3808.08
DN,Dadra & Nagar Haveli,33,total expenditure (15+32),Rural,1726.61
DD,Daman & Diu,33,total expenditure (15+32),Rural,2709.66
LK,Lakshadweep,33,total expenditure (15+32),Rural,3051.86
AN,Andaman & Nicobar Islands,34,"cooked meals recd. free inworkpl.*",Rural,12.3
CH,Chandigarh,34,"cooked meals recd. free inworkpl.*",Rural,1.88
DN,Dadra & Nagar Haveli,34,"cooked meals recd. free inworkpl.*",Rural,11.91
DD,Daman & Diu,34,"cooked meals recd. free inworkpl.*",Rural,63.34
LK,Lakshadweep,34,"cooked meals recd. free inworkpl.*",Rural,0.56
AN,Andaman & Nicobar Islands,35,cooked meals recd. as assistance *,Rural,48.92
CH,Chandigarh,35,cooked meals recd. as assistance *,Rural,19.58
DN,Dadra & Nagar Haveli,35,cooked meals recd. as assistance *,Rural,26.67
DD,Daman & Diu,35,cooked meals recd. as assistance *,Rural,7.23
LK,Lakshadweep,35,cooked meals recd. as assistance *,Rural,27.21
AN,Andaman & Nicobar Islands,36,clothing & footwear (2nd hand) **,Rural,0
CH,Chandigarh,36,clothing & footwear (2nd hand) **,Rural,1.1
DN,Dadra & Nagar Haveli,36,clothing & footwear (2nd hand) **,Rural,0
DD,Daman & Diu,36,clothing & footwear (2nd hand) **,Rural,0.92
LK,Lakshadweep,36,clothing & footwear (2nd hand) **,Rural,0
AN,Andaman & Nicobar Islands,37,"@books, journals, etc. (2nd hand)",Rural,0.3
CH,Chandigarh,37,"@books, journals, etc. (2nd hand)",Rural,0.81
DN,Dadra & Nagar Haveli,37,"@books, journals, etc. (2nd hand)",Rural,0
DD,Daman & Diu,37,"@books, journals, etc. (2nd hand)",Rural,0.26
LK,Lakshadweep,37,"@books, journals, etc. (2nd hand)",Rural,0
AN,Andaman & Nicobar Islands,38,"$durables (2ndhand)",Rural,0
CH,Chandigarh,38,"$durables (2ndhand)",Rural,3.9
DN,Dadra & Nagar Haveli,38,"$durables (2ndhand)",Rural,0
DD,Daman & Diu,38,"$durables (2ndhand)",Rural,2.69
LK,Lakshadweep,38,"$durables (2ndhand)",Rural,2.1
AN,Andaman & Nicobar Islands,39,imputed rent,Rural,54.11
CH,Chandigarh,39,imputed rent,Rural,544.61
DN,Dadra & Nagar Haveli,39,imputed rent,Rural,269.18
DD,Daman & Diu,39,imputed rent,Rural,256.91
LK,Lakshadweep,39,imputed rent,Rural,156.03
PY,Puducherry,1,cereal,Rural,268.09
IN,India,1,cereal,Rural,175.21
PY,Puducherry,2,gram,Rural,8.08
IN,India,2,gram,Rural,3.11
PY,Puducherry,3,cereal substitutes,Rural,0
IN,India,3,cereal substitutes,Rural,0.95
PY,Puducherry,4,pulses and pulse products,Rural,83.25
IN,India,4,pulses and pulse products,Rural,48.32
PY,Puducherry,5,milk and milk products,Rural,198.65
IN,India,5,milk and milk products,Rural,169.4
PY,Puducherry,6,sugar,Rural,27.77
IN,India,6,sugar,Rural,26.8
PY,Puducherry,7,salt,Rural,4.87
IN,India,7,salt,Rural,2.99
PY,Puducherry,8,edible oil,Rural,104.13
IN,India,8,edible oil,Rural,65.03
PY,Puducherry,9,"egg, fish & meat",Rural,245.62
IN,India,9,"egg, fish & meat",Rural,90.37
PY,Puducherry,10,vegetables,Rural,191.56
IN,India,10,vegetables,Rural,132.92
PY,Puducherry,11,fruits (fresh),Rural,99.61
IN,India,11,fruits (fresh),Rural,45.62
PY,Puducherry,12,fruits (dry),Rural,37.5
IN,India,12,fruits (dry),Rural,12.34
PY,Puducherry,13,spices,Rural,127.08
IN,India,13,spices,Rural,61.39
PY,Puducherry,14,"beverages, refreshments, etc.",Rural,241.46
IN,India,14,"beverages, refreshments, etc.",Rural,144.24
PY,Puducherry,15,food: total (1-14),Rural,1637.67
IN,India,15,food: total (1-14),Rural,978.69
PY,Puducherry,16,"pan, tobacco & intoxicants",Rural,47.06
IN,India,16,"pan, tobacco & intoxicants",Rural,46.58
PY,Puducherry,17,fuel and light,Rural,218.91
IN,India,17,fuel and light,Rural,165.67
PY,Puducherry,18,clothing & bedding,Rural,199.27
IN,India,18,clothing & bedding,Rural,128.82
PY,Puducherry,19,footwear,Rural,24.81
IN,India,19,footwear,Rural,21.62
PY,Puducherry,20,education,Rural,153.91
IN,India,20,education,Rural,76.87
PY,Puducherry,21,medical (institutional),Rural,44.92
IN,India,21,medical (institutional),Rural,25.55
PY,Puducherry,22,medical (non-institutional),Rural,56.32
IN,India,22,medical (non-institutional),Rural,50.94
PY,Puducherry,23,entertainment,Rural,52.56
IN,India,23,entertainment,Rural,24.31
PY,Puducherry,24,minor durable-type goods,Rural,5.53
IN,India,24,minor durable-type goods,Rural,6.29
PY,Puducherry,25,toilet articles,Rural,94.78
IN,India,25,toilet articles,Rural,38.38
PY,Puducherry,26,other household consumables,Rural,75.1
IN,India,26,other household consumables,Rural,34.6
PY,Puducherry,27,consum. services excl. conveyance,Rural,145.6
IN,India,27,consum. services excl. conveyance,Rural,78.3
PY,Puducherry,28,conveyance,Rural,422.98
IN,India,28,conveyance,Rural,94.28
PY,Puducherry,29,rent,Rural,89.93
IN,India,29,rent,Rural,7.83
PY,Puducherry,30,taxes & cesses,Rural,35.98
IN,India,30,taxes & cesses,Rural,6.67
PY,Puducherry,31,durable goods,Rural,69.67
IN,India,31,durable goods,Rural,86.74
PY,Puducherry,32,non-food: total (16-31),Rural,1737.32
IN,India,32,non-food: total (16-31),Rural,893.44
PY,Puducherry,33,total expenditure (15+32),Rural,3374.99
IN,India,33,total expenditure (15+32),Rural,1872.13
PY,Puducherry,34,"cooked meals recd. free inworkpl.*",Rural,13.85
IN,India,34,"cooked meals recd. free inworkpl.*",Rural,2.37
PY,Puducherry,35,cooked meals recd. as assistance *,Rural,1.93
IN,India,35,cooked meals recd. as assistance *,Rural,23.52
PY,Puducherry,36,clothing & footwear (2nd hand) **,Rural,0
IN,India,36,clothing & footwear (2nd hand) **,Rural,0.35
PY,Puducherry,37,"@books, journals, etc. (2nd hand)",Rural,1.33
IN,India,37,"@books, journals, etc. (2nd hand)",Rural,0.44
PY,Puducherry,38,"$durables (2ndhand)",Rural,0
IN,India,38,"$durables (2ndhand)",Rural,1.66
PY,Puducherry,39,imputed rent,Rural,231
IN,India,39,imputed rent,Rural,74.06
AP,Andhra Pradesh,1,cereal,Urban,259.17
AR,Arunachal Pradesh,1,cereal,Urban,303.73
AS,Assam,1,cereal,Urban,289.34
BR,Bihar,1,cereal,Urban,247.94
CT,Chhattisgarh,1,cereal,Urban,217.26
AP,Andhra Pradesh,2,gram,Urban,2.55
AR,Arunachal Pradesh,2,gram,Urban,2.53
AS,Assam,2,gram,Urban,2.87
BR,Bihar,2,gram,Urban,6.46
CT,Chhattisgarh,2,gram,Urban,2.39
AP,Andhra Pradesh,3,cereal substitutes,Urban,0.26
AR,Arunachal Pradesh,3,cereal substitutes,Urban,3.38
AS,Assam,3,cereal substitutes,Urban,0.05
BR,Bihar,3,cereal substitutes,Urban,0.01
CT,Chhattisgarh,3,cereal substitutes,Urban,0.05
AP,Andhra Pradesh,4,pulses and pulse products,Urban,65.3
AR,Arunachal Pradesh,4,pulses and pulse products,Urban,60.6
AS,Assam,4,pulses and pulse products,Urban,58.72
BR,Bihar,4,pulses and pulse products,Urban,48.05
CT,Chhattisgarh,4,pulses and pulse products,Urban,58.87
AP,Andhra Pradesh,5,milk and milk products,Urban,228.04
AR,Arunachal Pradesh,5,milk and milk products,Urban,132.05
AS,Assam,5,milk and milk products,Urban,125.33
BR,Bihar,5,milk and milk products,Urban,219.43
CT,Chhattisgarh,5,milk and milk products,Urban,114.18
AP,Andhra Pradesh,6,sugar,Urban,20.63
AR,Arunachal Pradesh,6,sugar,Urban,25.58
AS,Assam,6,sugar,Urban,22.85
BR,Bihar,6,sugar,Urban,20.69
CT,Chhattisgarh,6,sugar,Urban,27.76
